,split,nspeakers,filename,session,ref_speaker,mix,audio_duration,brouhaha_speech_duration,brouhaha_speech_percentage,brouhaha_snr_mean,brouhaha_c50_mean
dev/1/S02_P05_11b_mix.wav,dev,1,S02_P05_11b_mix,S02,P05,11b_mix,3.9,2.346,0.6015384615384616,8.749752044677734,6.992847442626953
dev/1/S02_P05_11b_noise.wav,dev,1,S02_P05_11b_noise,S02,P05,11b_noise,3.9,0,0.0,7.908590316772461,19.330217361450195
dev/1/S02_P05_11b_speech.wav,dev,1,S02_P05_11b_speech,S02,P05,11b_speech,3.9,1.317,0.3376923076923077,56.24968719482422,5.314685821533203
dev/1/S02_P05_14a_mix.wav,dev,1,S02_P05_14a_mix,S02,P05,14a_mix,5.02,4.961,0.9882470119521913,17.870500564575195,10.245238304138184
dev/1/S02_P05_14a_noise.wav,dev,1,S02_P05_14a_noise,S02,P05,14a_noise,5.02,0,0.0,2.5440776348114014,20.1328182220459
dev/1/S02_P05_14a_speech.wav,dev,1,S02_P05_14a_speech,S02,P05,14a_speech,5.02,4.961,0.9882470119521913,49.7614631652832,8.927419662475586
dev/1/S02_P05_15a_mix.wav,dev,1,S02_P05_15a_mix,S02,P05,15a_mix,3.97,3.696,0.9309823677581864,29.04227638244629,20.111303329467773
dev/1/S02_P05_15a_noise.wav,dev,1,S02_P05_15a_noise,S02,P05,15a_noise,3.97,0,0.0,-2.704228401184082,15.572964668273926
dev/1/S02_P05_15a_speech.wav,dev,1,S02_P05_15a_speech,S02,P05,15a_speech,3.97,3.729,0.9392947103274559,55.23722457885742,21.348642349243164
dev/1/S02_P05_4a_mix.wav,dev,1,S02_P05_4a_mix,S02,P05,4a_mix,4.47,4.067,0.9098434004474274,11.713486671447754,12.430458068847656
dev/1/S02_P05_4a_noise.wav,dev,1,S02_P05_4a_noise,S02,P05,4a_noise,4.47,0,0.0,4.778585910797119,20.11070251464844
dev/1/S02_P05_4a_speech.wav,dev,1,S02_P05_4a_speech,S02,P05,4a_speech,4.47,3.932,0.8796420581655481,40.06679534912109,9.097466468811035
dev/1/S02_P05_5a_mix.wav,dev,1,S02_P05_5a_mix,S02,P05,5a_mix,3.52,2.936,0.8340909090909091,5.429502964019775,11.462652206420898
